username,repo_name,stars,repo_url
public-apis,public-apis,314000,https://github.com/public-apis/public-apis
neovim,neovim,82300,https://github.com/neovim/neovim
fastapi,fastapi,76300,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,64300,https://github.com/hoppscotch/hoppscotch
strapi,strapi,63200,https://github.com/strapi/strapi
ocornut,imgui,60200,https://github.com/ocornut/imgui
QuivrHQ,quivr,36200,https://github.com/QuivrHQ/quivr
slatedocs,slate,36000,https://github.com/slatedocs/slate
trpc,trpc,34600,https://github.com/trpc/trpc
Kong,insomnia,34500,https://github.com/Kong/insomnia
httpie,cli,33600,https://github.com/httpie/cli
ccxt,ccxt,32700,https://github.com/ccxt/ccxt
hasura,graphql-engine,31100,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,28200,https://github.com/encode/django-rest-framework
directus,directus,27400,https://github.com/directus/directus
YMFE,yapi,27300,https://github.com/YMFE/yapi
littlecodersh,ItChat,25500,https://github.com/littlecodersh/ItChat
mudler,LocalAI,23800,https://github.com/mudler/LocalAI
PostgREST,postgrest,23300,https://github.com/PostgREST/postgrest
